cohort,sigma,auc_mean,dice_mean,coverage_mean,n_eval
RHUH-GBM,4.0,0.6872221048456599,0.1795751616126268,0.26871529407961525,34
RHUH-GBM,5.0,0.6929034239243257,0.20231019757965626,0.3243554446507343,34
RHUH-GBM,7.0,0.6976403598354787,0.23609919580333844,0.38954126953566837,34
RHUH-GBM,10.0,0.6950441443821435,0.282816394244517,0.49767834990841614,34
RHUH-GBM,12.0,0.7011724561497857,0.31698135494737156,0.6150953154658609,34
RHUH-GBM,15.0,0.7134066913254602,0.3646293812527252,0.7460362699873885,34
RHUH-GBM,20.0,0.7144704384156588,0.4116841466657095,0.8588192959968654,34
RHUH-GBM,25.0,0.7270197140580024,0.44851907176945405,0.938965248636832,34
RHUH-GBM,30.0,0.7285694776536054,0.455777460719857,0.9837679253584242,34
LUMIERE,1.0,0.7403496150937078,0.05583819314563629,0.037917913258179885,22
LUMIERE,2.0,0.7428188032789245,0.12932633377547284,0.1283107204928813,22
LUMIERE,3.0,0.7491883989746363,0.1765157541178384,0.20971771723950014,22
LUMIERE,4.0,0.744450156430375,0.2121397528697223,0.2832363182583106,22
LUMIERE,5.0,0.7362674173083849,0.23206721507402453,0.34754938808147223,22
LUMIERE,7.0,0.7240681095735385,0.25375258726082944,0.46240181499493166,22
LUMIERE,10.0,0.7186537010299455,0.25565672681983354,0.5791577762184036,22
LUMIERE,12.0,0.7161620763791235,0.2589287217238836,0.6555971294322852,22
LUMIERE,15.0,0.6967526689776526,0.25444711368916567,0.7477157231480028,22
LUMIERE,20.0,0.6692811170989068,0.25811110436034734,0.7996987346244603,22
LUMIERE,25.0,0.6474846957864775,0.2839903492472728,0.9201652298563805,22
LUMIERE,30.0,0.6396104178021507,0.29492453756388604,0.9861085096102582,22
PROTEAS-brain-mets,1.0,0.9155441187064034,0.07392357047006583,0.08907562379834723,100
PROTEAS-brain-mets,2.0,0.93153422488814,0.11005938723695102,0.29445690953135,100
PROTEAS-brain-mets,3.0,0.929401193766401,0.08606368443024456,0.4536143269263283,100
PROTEAS-brain-mets,4.0,0.9237015941717297,0.06281148567130082,0.5947336353262037,100
PROTEAS-brain-mets,5.0,0.9144525881442889,0.04350600705837181,0.6744441062538497,100
PROTEAS-brain-mets,7.0,0.8990439808483702,0.02623754826520153,0.7203142739902358,100
PROTEAS-brain-mets,10.0,0.8796853767948217,0.014010558027418492,0.7879524556824697,100
PROTEAS-brain-mets,12.0,0.8637910233441307,0.009903397320905432,0.8057842397425745,100
PROTEAS-brain-mets,15.0,0.8282205307321767,0.0076939764242776884,0.8407388809067767,100
